"prefname_Jap_short","prefname_Jap_long","prefname","capital_spot"
"北海道","北海道","Hokkaido","札幌"
"青森","青森県","Aomori","青森"
"岩手","岩手県","Iwate","盛岡"
"宮城","宮城県","Miyagi","仙台"
"秋田","秋田県","Akita","秋田"
"山形","山形県","Yamagata","山形"
"福島","福島県","Fukushima","福島"
"茨城","茨城県","Ibaraki","水戸"
"栃木","栃木県","Tochigi","宇都宮"
"群馬","群馬県","Gunma","前橋"
"埼玉","埼玉県","Saitama","さいたま"
"千葉","千葉県","Chiba","千葉"
"東京","東京都","Tokyo","東京"
"神奈川","神奈川県","Kanagawa","横浜"
"新潟","新潟県","Niigata","新潟"
"富山","富山県","Toyama","富山"
"石川","石川県","Ishikawa","金沢"
"福井","福井県","Fukui","福井"
"山梨","山梨県","Yamanashi","甲府"
"長野","長野県","Nagano","長野"
"岐阜","岐阜県","Gifu","岐阜"
"静岡","静岡県","Shizuoka","静岡"
"愛知","愛知県","Aichi","名古屋"
"三重","三重県","Mie","津"
"滋賀","滋賀県","Shiga","大津"
"京都","京都府","Kyoto","京都"
"大阪","大阪府","Osaka","大阪"
"兵庫","兵庫県","Hyogo","神戸"
"奈良","奈良県","Nara","奈良"
"和歌山","和歌山県","Wakayama","和歌山"
"鳥取","鳥取県","Tottori","鳥取"
"島根","島根県","Shimane","松江"
"岡山","岡山県","Okayama","岡山"
"広島","広島県","Hiroshima","広島"
"山口","山口県","Yamaguchi","山口"
"徳島","徳島県","Tokushima","徳島"
"香川","香川県","Kagawa","高松"
"愛媛","愛媛県","Ehime","松山"
"高知","高知県","Kochi","高知"
"福岡","福岡県","Fukuoka","福岡"
"佐賀","佐賀県","Saga","佐賀"
"長崎","長崎県","Nagasaki","長崎"
"熊本","熊本県","Kumamoto","熊本"
"大分","大分県","Oita","大分"
"宮崎","宮崎県","Miyazaki","宮崎"
"鹿児島","鹿児島県","Kagoshima","鹿児島"
"沖縄","沖縄県","Okinawa","那覇"
